device_id,f_blue_avg_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-01-18,f_blue_avg_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-03-01,f_blue_avg_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-01-18,f_blue_avg_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_least_frequent_device_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_least_frequent_device_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_least_frequent_device_of_others_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_least_frequent_device_of_others_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_least_frequent_device_of_self_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_least_frequent_device_of_self_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_most_frequent_device_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_most_frequent_device_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_most_frequent_device_of_others_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_most_frequent_device_of_others_mo_wkend_half_sem_2017-03-01,f_blue_num_scans_of_most_frequent_device_of_self_mo_wkend_half_sem_2017-01-18,f_blue_num_scans_of_most_frequent_device_of_self_mo_wkend_half_sem_2017-03-01,f_blue_number_samples_bluetooth_mo_wkend_half_sem_2017-01-18,f_blue_number_samples_bluetooth_mo_wkend_half_sem_2017-03-01,f_blue_number_unique_devices_mo_wkend_half_sem_2017-01-18,f_blue_number_unique_devices_mo_wkend_half_sem_2017-03-01,f_blue_number_unique_devices_of_others_mo_wkend_half_sem_2017-01-18,f_blue_number_unique_devices_of_others_mo_wkend_half_sem_2017-03-01,f_blue_number_unique_devices_of_self_mo_wkend_half_sem_2017-01-18,f_blue_number_unique_devices_of_self_mo_wkend_half_sem_2017-03-01,f_blue_std_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-01-18,f_blue_std_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-03-01,f_blue_std_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-01-18,f_blue_std_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-03-01,f_blue_sum_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-01-18,f_blue_sum_num_scans_of_all_devices_of_others_mo_wkend_half_sem_2017-03-01,f_blue_sum_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-01-18,f_blue_sum_num_scans_of_all_devices_of_self_mo_wkend_half_sem_2017-03-01
cb952516-48ff-4504-a9e6-080161ee7f8d,2.02632,2.55921,6.66667,20.3111,1.0,1.0,1.0,1.0,1.0,1.0,33.0,151.0,14.0,21.0,33.0,151.0,117.0,1692.0,44.0,349.0,38.0,304.0,6.0,45.0,2.35368,2.66807,12.9254,34.0687,77.0,778.0,40.0,914.0
ccb6e01b-3dc3-4f63-b1dc-f028fce9463f,2.54545,2.02041,16.0,31.0,1.0,1.0,1.0,1.0,16.0,31.0,16.0,31.0,14.0,14.0,16.0,31.0,44.0,130.0,12.0,50.0,11.0,49.0,1.0,1.0,3.98406,2.34067,,,28.0,99.0,16.0,31.0
cd031b30-d6b4-479f-877f-7a8467135ea4,1.44444,1.74286,3.75,4.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,4.0,6.0,10.0,10.0,28.0,158.0,13.0,79.0,9.0,70.0,4.0,9.0,1.01379,1.22398,4.19325,3.16228,13.0,122.0,15.0,36.0
cd20f78a-3ab7-4bb5-b400-e4af17ddef1f,1.0,1.4,1.0,23.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,23.0,1.0,2.0,1.0,23.0,2.0,30.0,2.0,6.0,1.0,5.0,1.0,1.0,,0.547723,,,1.0,7.0,1.0,23.0
cf5aaf0c-8b7b-4781-9109-cd32e2b8588e,2.03859,4.6506,100.0,124.167,1.0,1.0,1.0,1.0,18.0,8.0,191.0,197.0,23.0,55.0,191.0,197.0,1134.0,1517.0,316.0,172.0,311.0,166.0,5.0,6.0,2.58378,7.96117,83.8004,79.7757,634.0,772.0,500.0,745.0
d0a1ab1f-7d61-4071-a0e5-21d31dcbf7d4,1.29412,1.6875,2.85714,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,4.0,5.0,10.0,4.0,42.0,95.0,24.0,55.0,17.0,48.0,7.0,7.0,0.771744,1.15143,3.33809,1.1547,22.0,81.0,20.0,14.0
d1ac58f8-4334-4249-ad23-1746fed138b1,2.75,8.0,10.6667,22.25,1.0,1.0,1.0,1.0,4.0,12.0,18.0,32.0,18.0,32.0,15.0,30.0,76.0,225.0,19.0,21.0,16.0,17.0,3.0,4.0,4.26615,8.7892,5.85947,7.5,44.0,136.0,32.0,89.0
d1ff441d-a66a-45ab-b1b2-372042b29762,1.47619,1.59259,1.66667,2.5,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,36.0,48.0,24.0,29.0,21.0,27.0,3.0,2.0,0.813575,0.797074,1.1547,2.12132,31.0,43.0,5.0,5.0
d26777b1-b3b5-4e7c-adf8-5a8264e2ddc6,3.17647,2.0303,35.75,19.3333,1.0,1.0,1.0,1.0,19.0,2.0,64.0,42.0,13.0,10.0,64.0,42.0,251.0,125.0,38.0,36.0,34.0,33.0,4.0,3.0,2.76855,2.14308,19.6023,20.5264,108.0,67.0,143.0,58.0
d5aac654-91bb-4ae4-b8cf-5704421fd07e,3.8,4.01786,3.66667,18.3333,1.0,1.0,1.0,1.0,2.0,4.0,36.0,33.0,36.0,26.0,5.0,33.0,68.0,280.0,18.0,59.0,15.0,56.0,3.0,3.0,8.94587,5.45891,1.52753,14.5029,57.0,225.0,11.0,55.0
d87719f9-6868-47bb-91d5-02acf9190f94,5.92105,3.32075,50.75,38.75,1.0,1.0,1.0,1.0,24.0,26.0,76.0,56.0,24.0,23.0,76.0,56.0,428.0,331.0,42.0,57.0,38.0,53.0,4.0,4.0,7.14855,5.48696,28.0877,13.5984,225.0,176.0,203.0,155.0
db4bc043-4f67-418c-bd8a-e15543032389,1.83077,3.39186,46.4286,153.0,1.0,1.0,1.0,1.0,1.0,5.0,153.0,408.0,33.0,52.0,153.0,408.0,801.0,2349.0,267.0,472.0,260.0,467.0,7.0,5.0,2.87618,5.61369,70.318,183.075,476.0,1584.0,325.0,765.0
dba4459b-ef47-43cc-b721-364c0406f355,1.17391,1.4,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,31.0,8.0,25.0,6.0,23.0,5.0,2.0,1.0,0.650327,0.547723,0.0,,27.0,7.0,4.0,1.0
dec05b58-d6d4-4478-b730-3fd040c4e52d,14.193,28.783,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,518.0,2082.0,518.0,2082.0,0.0,0.0,1618.0,20954.0,114.0,728.0,114.0,728.0,0.0,0.0,59.6754,143.691,0.0,0.0,1618.0,20954.0,0.0,0.0
dfa65587-95f0-4384-9d81-64a15e78bf16,4.85714,2.09302,8.33333,15.4,1.0,1.0,1.0,1.0,2.0,1.0,34.0,43.0,15.0,12.0,34.0,43.0,84.0,167.0,13.0,48.0,7.0,43.0,6.0,5.0,5.72796,2.1582,12.6596,16.5015,34.0,90.0,50.0,77.0
e1f9e6dd-d065-4590-b3da-8074a91dce27,1.58333,1.62069,14.3333,3.33333,1.0,1.0,1.0,1.0,1.0,1.0,54.0,8.0,4.0,8.0,54.0,5.0,105.0,57.0,18.0,32.0,12.0,29.0,6.0,3.0,0.996205,1.74056,20.9825,2.08167,19.0,47.0,86.0,10.0
e261bc00-2e1f-4c98-8511-deedb1d77739,1.93333,3.38462,44.0,25.1667,1.0,1.0,1.0,1.0,15.0,1.0,114.0,65.0,14.0,20.0,114.0,65.0,322.0,522.0,36.0,77.0,30.0,65.0,6.0,12.0,2.50425,4.51972,37.4005,19.5626,58.0,220.0,264.0,302.0
e288098a-788a-4d3b-8fa2-0cf863eebf75,1.66667,1.61765,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,7.0,5.0,7.0,5.0,3.0,2.0,23.0,57.0,13.0,35.0,12.0,34.0,1.0,1.0,1.77525,1.12855,,,20.0,55.0,3.0,2.0
e322dd4d-798b-4536-af6f-fe3404a15fce,1.63158,1.87356,6.42857,5.45455,1.0,1.0,1.0,1.0,2.0,1.0,11.0,16.0,4.0,7.0,11.0,16.0,107.0,223.0,45.0,98.0,38.0,87.0,7.0,11.0,0.851741,1.44516,2.82,4.78254,62.0,163.0,45.0,60.0
