device_id,f_steps_avg_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_avg_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_avg_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_max_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_max_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_max_steps_af_wkend_half_sem_2017-01-18,f_steps_max_steps_af_wkend_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_min_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_min_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_num_active_bout_af_wkend_half_sem_2017-01-18,f_steps_num_active_bout_af_wkend_half_sem_2017-03-01,f_steps_num_samples_steps_af_wkend_half_sem_2017-01-18,f_steps_num_samples_steps_af_wkend_half_sem_2017-03-01,f_steps_num_sedentary_bout_af_wkend_half_sem_2017-01-18,f_steps_num_sedentary_bout_af_wkend_half_sem_2017-03-01,f_steps_sum_steps_af_wkend_half_sem_2017-01-18,f_steps_sum_steps_af_wkend_half_sem_2017-03-01
d5aac654-91bb-4ae4-b8cf-5704421fd07e,16.0,20.0,36.0,22.0,404.0,531.0,75.0,165.0,440.0,365.0,3417.0,5093.0,558.0,547.0,5.0,5.0,5.0,5.0,10.0,10.0,63.0,86.0,657.0,730.0,63.0,86.0,25717.0,46053.0
d87719f9-6868-47bb-91d5-02acf9190f94,21.0,22.0,18.0,19.0,562.0,563.0,155.0,175.0,110.0,215.0,6761.0,10636.0,590.0,655.0,5.0,5.0,5.0,5.0,10.0,10.0,112.0,156.0,876.0,1314.0,111.0,156.0,63569.0,88547.0
db4bc043-4f67-418c-bd8a-e15543032389,21.0,18.0,27.0,26.0,500.0,406.0,115.0,115.0,375.0,705.0,4113.0,2177.0,564.0,611.0,5.0,5.0,5.0,5.0,11.0,10.0,91.0,122.0,876.0,1095.0,91.0,123.0,45956.0,50075.0
dba4459b-ef47-43cc-b721-364c0406f355,16.0,18.0,22.0,24.0,478.0,589.0,80.0,90.0,155.0,190.0,2395.0,3768.0,606.0,608.0,5.0,5.0,5.0,5.0,10.0,10.0,110.0,153.0,876.0,1314.0,110.0,153.0,53101.0,90846.0
dec05b58-d6d4-4478-b730-3fd040c4e52d,14.0,11.0,19.0,62.0,351.0,371.0,80.0,40.0,195.0,345.0,2675.0,1594.0,577.0,609.0,5.0,5.0,5.0,5.0,10.0,10.0,126.0,19.0,876.0,292.0,127.0,20.0,44862.0,7186.0
dfa65587-95f0-4384-9d81-64a15e78bf16,23.0,18.0,30.0,27.0,676.0,540.0,160.0,120.0,730.0,280.0,5693.0,3385.0,599.0,646.0,5.0,5.0,5.0,5.0,10.0,10.0,80.0,118.0,876.0,1095.0,81.0,117.0,54583.0,64385.0
e1f9e6dd-d065-4590-b3da-8074a91dce27,17.0,17.0,28.0,27.0,481.0,498.0,155.0,155.0,290.0,310.0,5094.0,8138.0,597.0,618.0,5.0,5.0,5.0,5.0,10.0,10.0,95.0,146.0,876.0,1314.0,95.0,146.0,46266.0,73529.0
e261bc00-2e1f-4c98-8511-deedb1d77739,26.0,22.0,14.0,20.0,667.0,537.0,135.0,115.0,130.0,120.0,3452.0,3767.0,537.0,664.0,5.0,5.0,5.0,5.0,10.0,10.0,107.0,155.0,876.0,1314.0,108.0,154.0,71778.0,83709.0
e288098a-788a-4d3b-8fa2-0cf863eebf75,18.0,17.0,31.0,31.0,760.0,598.0,155.0,130.0,150.0,210.0,12237.0,4298.0,563.0,558.0,5.0,5.0,5.0,5.0,10.0,10.0,87.0,119.0,876.0,1168.0,87.0,120.0,66503.0,71620.0
e322dd4d-798b-4536-af6f-fe3404a15fce,14.0,18.0,24.0,23.0,371.0,482.0,85.0,115.0,215.0,230.0,3738.0,5810.0,635.0,566.0,5.0,5.0,5.0,5.0,10.0,10.0,115.0,160.0,876.0,1314.0,114.0,159.0,43272.0,77711.0
e5847047-48e7-4aec-9ab2-e03a432ad442,19.0,20.0,26.0,22.0,682.0,613.0,150.0,160.0,685.0,505.0,7613.0,7051.0,648.0,605.0,5.0,5.0,5.0,5.0,10.0,10.0,95.0,153.0,876.0,1314.0,96.0,152.0,65297.0,94499.0
e6ad33da-3083-4dad-85a6-b06dd345975b,16.0,17.0,23.0,40.0,402.0,379.0,145.0,110.0,295.0,775.0,4736.0,3909.0,618.0,609.0,5.0,5.0,5.0,5.0,10.0,11.0,110.0,87.0,876.0,1022.0,110.0,88.0,44783.0,33410.0
e9d0cdd9-b664-453d-9bcf-c5f560519dc9,13.0,15.0,26.0,24.0,383.0,346.0,80.0,75.0,120.0,165.0,5233.0,4082.0,602.0,577.0,5.0,5.0,5.0,5.0,10.0,10.0,108.0,165.0,876.0,1314.0,108.0,164.0,41692.0,57877.0
eb8051d8-bc9c-47f9-b663-89583b35f37b,18.0,24.0,21.0,22.0,477.0,772.0,95.0,175.0,225.0,280.0,3297.0,7387.0,633.0,591.0,5.0,5.0,5.0,5.0,10.0,10.0,108.0,111.0,876.0,1022.0,109.0,110.0,51894.0,86166.0
ec54b478-47e0-444d-90a1-bfb45b416bee,15.0,17.0,33.0,32.0,457.0,422.0,85.0,115.0,360.0,395.0,4438.0,3172.0,655.0,629.0,5.0,5.0,5.0,5.0,10.0,10.0,88.0,80.0,876.0,803.0,89.0,80.0,40703.0,34155.0
ee099a8f-8baf-408e-bf0f-3cf1a3d51790,15.0,17.0,31.0,21.0,421.0,546.0,95.0,120.0,200.0,280.0,4415.0,6669.0,649.0,614.0,5.0,5.0,5.0,5.0,10.0,10.0,84.0,131.0,803.0,1022.0,84.0,131.0,35791.0,72168.0
ee6eb822-8fdb-4821-b759-5dedcfadd2f2,10.0,,63.0,,317.0,,30.0,,260.0,,1549.0,,563.0,,5.0,,5.0,,14.0,,14.0,,219.0,,15.0,,4493.0,
f2eb226f-61b4-44b9-8e1d-4f6de1438a29,30.0,21.0,20.0,33.0,850.0,611.0,250.0,150.0,210.0,210.0,7247.0,5719.0,603.0,636.0,5.0,5.0,5.0,5.0,10.0,10.0,87.0,119.0,876.0,1314.0,87.0,119.0,74227.0,73426.0
f4f84e15-621a-4900-96f1-a8d058066570,22.0,21.0,21.0,30.0,563.0,693.0,230.0,120.0,175.0,220.0,7115.0,8866.0,566.0,642.0,5.0,5.0,5.0,5.0,10.0,10.0,98.0,126.0,876.0,1314.0,99.0,126.0,55628.0,87973.0
f5de7b18-5058-41c2-b957-da926c7dcba9,16.0,24.0,21.0,18.0,525.0,902.0,100.0,125.0,110.0,170.0,5968.0,8727.0,616.0,645.0,5.0,5.0,5.0,5.0,10.0,10.0,116.0,154.0,876.0,1314.0,115.0,154.0,61461.0,139665.0
f7ea4330-8f1c-4042-b5ea-13726c70efb1,18.0,16.0,25.0,24.0,469.0,426.0,215.0,130.0,640.0,525.0,9337.0,5951.0,632.0,597.0,5.0,5.0,5.0,5.0,10.0,10.0,100.0,161.0,876.0,1314.0,100.0,162.0,47362.0,69315.0
f92b4712-d45b-4aa6-bacc-fee783b55290,22.0,21.0,22.0,30.0,846.0,799.0,140.0,155.0,220.0,260.0,8517.0,9331.0,838.0,736.0,5.0,5.0,5.0,5.0,10.0,10.0,98.0,126.0,876.0,1314.0,97.0,126.0,83398.0,101309.0
fc56152c-3430-4952-88cc-f52240fa3092,12.0,13.0,27.0,23.0,356.0,351.0,50.0,70.0,160.0,105.0,2535.0,3776.0,633.0,551.0,5.0,5.0,5.0,5.0,10.0,10.0,110.0,173.0,876.0,1314.0,109.0,174.0,39692.0,61482.0
fd5999a3-6d93-4479-8a7a-91fb7f8f0270,21.0,23.0,35.0,24.0,722.0,788.0,135.0,210.0,375.0,185.0,7069.0,11643.0,593.0,582.0,5.0,5.0,5.0,5.0,10.0,12.0,77.0,84.0,876.0,803.0,78.0,85.0,55931.0,66557.0
fe880b1f-df9c-476f-a7b3-ac363000fee7,19.0,28.0,27.0,19.0,567.0,795.0,65.0,155.0,205.0,95.0,5033.0,6310.0,611.0,759.0,5.0,5.0,5.0,5.0,10.0,11.0,54.0,30.0,511.0,292.0,55.0,31.0,30967.0,24018.0
fe94368f-79f1-48b2-a40e-234130e09164,14.0,14.0,24.0,27.0,397.0,313.0,90.0,95.0,280.0,435.0,3199.0,3642.0,748.0,542.0,5.0,5.0,5.0,5.0,10.0,10.0,112.0,155.0,876.0,1314.0,112.0,156.0,45099.0,49298.0
